arm	id	cutoff	pool	bm25_rank	semantic_rank	dense_rank	dense_vs_bm25	dense_vs_semantic	query_vector_us	dense_scan_sort_us
natural-unscoped-top10	nl-27	10	570	1	1	1	same	same	13587	847
natural-unscoped-top10	nl-28	10	570	1	1	1	same	same	15753	981
natural-unscoped-top10	nl-29	10	570	2	1	1	same	same	14491	886
natural-unscoped-top10	nl-30	10	570	1	4	4	same	same	10827	923
natural-scoped-top3	nl-01	3	158	3	2	2	same	same	11591	241
natural-scoped-top3	nl-02	3	158	0	0	150	same	same	10694	277
natural-scoped-top3	nl-03	3	158	12	14	57	same	same	14819	252
natural-scoped-top3	nl-04	3	158	0	0	0	same	same	10606	279
natural-scoped-top3	nl-05	3	158	1	6	89	regression	same	10939	273
natural-scoped-top3	nl-06	3	158	7	3	5	same	regression	11746	671
natural-scoped-top3	nl-07	3	158	7	16	66	same	same	12710	278
natural-scoped-top3	nl-08	3	158	0	0	0	same	same	11099	257
natural-scoped-top3	nl-09	3	158	34	25	47	same	same	11422	237
natural-scoped-top3	nl-10	3	158	0	0	0	same	same	14976	802
natural-scoped-top3	nl-11	3	158	0	0	109	same	same	10270	848
natural-scoped-top3	nl-12	3	158	3	2	3	same	same	12383	284
natural-scoped-top3	nl-13	3	158	3	1	1	same	same	9785	273
natural-scoped-top3	nl-14	3	158	3	3	4	regression	regression	9053	270
natural-scoped-top3	nl-15	3	158	1	4	4	regression	same	12574	257
natural-scoped-top3	nl-16	3	158	1	1	1	same	same	14885	244
natural-scoped-top3	nl-17	3	158	1	8	19	regression	same	9693	290
natural-scoped-top3	nl-18	3	158	2	2	2	same	same	10428	465
natural-scoped-top3	nl-19	3	158	1	1	1	same	same	12921	249
natural-scoped-top3	nl-20	3	158	2	2	2	same	same	13399	262
natural-scoped-top3	nl-21	3	158	2	1	1	same	same	10042	548
natural-scoped-top3	nl-22	3	158	4	3	4	same	regression	13045	256
natural-scoped-top3	nl-23	3	158	7	47	65	same	same	14117	240
natural-scoped-top3	nl-24	3	158	1	14	21	regression	same	11863	286
natural-scoped-top3	nl-25	3	158	0	0	50	same	same	12041	253
natural-scoped-top3	nl-26	3	158	2	2	2	same	same	14016	240
natural-scoped-top3	nl-27	3	158	1	1	1	same	same	13725	252
natural-scoped-top3	nl-28	3	158	1	1	1	same	same	10329	289
natural-scoped-top3	nl-29	3	158	2	2	2	same	same	15181	242
natural-scoped-top3	nl-30	3	158	1	2	2	same	same	12344	297
natural-scoped-top10	nl-01	10	158	3	2	2	same	same	9572	242
natural-scoped-top10	nl-02	10	158	0	0	150	same	same	11326	592
natural-scoped-top10	nl-03	10	158	12	14	57	same	same	13409	253
natural-scoped-top10	nl-04	10	158	0	0	0	same	same	15236	537
natural-scoped-top10	nl-05	10	158	1	6	89	regression	regression	10475	317
natural-scoped-top10	nl-06	10	158	7	3	5	same	same	10681	315
natural-scoped-top10	nl-07	10	158	7	16	66	regression	same	12355	263
natural-scoped-top10	nl-08	10	158	0	0	0	same	same	11866	288
natural-scoped-top10	nl-09	10	158	34	25	47	same	same	10962	243
natural-scoped-top10	nl-10	10	158	0	0	0	same	same	10270	395
natural-scoped-top10	nl-11	10	158	0	0	109	same	same	11266	316
natural-scoped-top10	nl-12	10	158	3	2	3	same	same	15086	270
natural-scoped-top10	nl-13	10	158	3	1	1	same	same	10495	257
natural-scoped-top10	nl-14	10	158	3	3	4	same	same	11023	251
natural-scoped-top10	nl-15	10	158	1	4	4	same	same	13562	244
natural-scoped-top10	nl-16	10	158	1	1	1	same	same	11124	259
natural-scoped-top10	nl-17	10	158	1	8	19	regression	regression	10926	262
natural-scoped-top10	nl-18	10	158	2	2	2	same	same	13012	250
natural-scoped-top10	nl-19	10	158	1	1	1	same	same	13200	256
natural-scoped-top10	nl-20	10	158	2	2	2	same	same	13906	290
natural-scoped-top10	nl-21	10	158	2	1	1	same	same	10039	442
natural-scoped-top10	nl-22	10	158	4	3	4	same	same	10042	257
natural-scoped-top10	nl-23	10	158	7	47	65	regression	same	7369	249
natural-scoped-top10	nl-24	10	158	1	14	21	regression	same	13418	258
natural-scoped-top10	nl-25	10	158	0	0	50	same	same	12865	271
natural-scoped-top10	nl-26	10	158	2	2	2	same	same	13030	238
natural-scoped-top10	nl-27	10	158	1	1	1	same	same	10931	257
natural-scoped-top10	nl-28	10	158	1	1	1	same	same	14426	279
natural-scoped-top10	nl-29	10	158	2	2	2	same	same	17781	252
natural-scoped-top10	nl-30	10	158	1	2	2	same	same	12476	255
stars-top3	stars-nl-01	3	570	1	1	1	same	same	15828	1568
stars-top3	stars-nl-02	3	570	1	1	1	same	same	11358	875
stars-top3	stars-nl-03	3	570	1	1	2	same	same	10672	920
stars-top3	stars-nl-04	3	570	1	1	1	same	same	10300	874
stars-top3	stars-nl-05	3	570	1	1	5	regression	regression	10178	861
stars-top3	stars-nl-06	3	570	1	2	2	same	same	10916	1020
stars-top3	stars-nl-07	3	570	1	2	2	same	same	11310	877
stars-top3	stars-nl-08	3	570	0	0	1	gain	gain	13306	852
stars-top10	stars-nl-01	10	570	1	1	1	same	same	11123	1155
stars-top10	stars-nl-02	10	570	1	1	1	same	same	10078	1163
stars-top10	stars-nl-03	10	570	1	1	2	same	same	13473	887
stars-top10	stars-nl-04	10	570	1	1	1	same	same	11042	1124
stars-top10	stars-nl-05	10	570	1	1	5	same	same	14845	825
stars-top10	stars-nl-06	10	570	1	2	2	same	same	11104	812
stars-top10	stars-nl-07	10	570	1	2	2	same	same	11380	846
stars-top10	stars-nl-08	10	570	0	0	1	gain	gain	10404	900
